time,Temperature (K)
2019-08-12 06:38:17.147626,326.54
2019-08-12 06:39:21.609932,326.54
2019-08-12 06:40:26.057392,326.54
2019-08-12 06:41:30.544571,326.54
2019-08-12 06:42:35.041585,326.54
2019-08-12 06:43:39.489251,326.54
2019-08-12 06:44:43.943853,326.54
2019-08-12 06:45:48.406470,326.54
2019-08-12 06:46:52.869684,326.54
2019-08-12 06:47:57.337909,326.54
2019-08-12 06:49:01.781824,326.54
2019-08-12 06:50:06.256814,326.54
2019-08-12 06:51:10.719277,326.54
2019-08-12 06:52:15.143055,326.54
2019-08-12 06:53:19.588263,326.54
2019-08-12 06:54:24.024035,326.54
2019-08-12 06:55:28.473142,326.54
2019-08-12 06:56:32.915074,326.54
2019-08-12 06:57:37.336118,326.54
2019-08-12 06:58:41.836905,326.54
2019-08-12 06:59:46.283978,326.54
2019-08-12 07:00:50.744477,326.54
2019-08-12 07:01:55.174514,326.54
2019-08-12 07:02:59.655772,326.54
2019-08-12 07:04:04.113795,326.54
2019-08-12 07:05:08.558560,326.54
2019-08-12 07:06:13.042094,326.54
2019-08-12 07:07:17.536691,326.54
2019-08-12 07:08:21.978614,326.54
2019-08-12 07:09:26.392390,326.54
2019-08-12 07:10:30.838461,326.44
2019-08-12 07:11:35.311014,326.54
2019-08-12 07:12:39.744114,326.54
2019-08-12 07:13:44.157884,326.44
2019-08-12 07:14:48.637545,326.54
2019-08-12 07:15:53.154632,326.54
2019-08-12 07:16:57.640299,326.54
2019-08-12 07:18:02.105471,326.54
2019-08-12 07:19:06.593335,326.54
2019-08-12 07:20:11.106671,326.54
2019-08-12 07:21:15.519396,326.54
2019-08-12 07:22:20.000807,326.54
2019-08-12 07:23:24.472929,326.54
2019-08-12 07:24:28.905025,326.54
2019-08-12 07:25:33.417871,326.54
2019-08-12 07:26:37.853006,326.54
2019-08-12 07:27:42.305130,326.54
2019-08-12 07:28:46.750468,326.54
2019-08-12 07:29:51.263850,326.54
2019-08-12 07:30:55.694080,326.54
2019-08-12 07:32:00.172918,326.54
2019-08-12 07:33:04.664058,326.54
2019-08-12 07:34:09.100005,326.54
2019-08-12 07:35:13.551446,326.54
2019-08-12 07:36:17.996079,326.54
2019-08-12 07:37:22.447698,326.54
2019-08-12 07:38:26.909271,326.54
2019-08-12 07:39:31.386394,326.54
2019-08-12 07:40:35.840800,326.54
2019-08-12 07:41:40.254050,326.54
2019-08-12 07:42:44.738571,326.44
2019-08-12 07:43:49.237899,326.54
2019-08-12 07:44:53.680981,326.54
2019-08-12 07:45:58.158161,326.54
2019-08-12 07:47:02.594044,326.54
2019-08-12 07:48:07.094542,326.54
2019-08-12 07:49:11.535511,326.54
2019-08-12 07:50:15.991655,326.54
2019-08-12 07:51:20.451754,326.54
2019-08-12 07:52:24.901041,326.54
2019-08-12 07:53:29.339291,326.54
2019-08-12 07:54:33.781683,326.54
2019-08-12 07:55:38.216215,326.54
2019-08-12 07:56:42.686860,326.54
2019-08-12 07:57:47.201454,326.54
2019-08-12 07:58:51.657398,326.54
2019-08-12 07:59:56.111511,326.54
2019-08-12 08:01:00.507004,326.54
2019-08-12 08:02:04.984902,326.54
2019-08-12 08:03:09.471894,326.54
2019-08-12 08:04:13.892893,326.54
2019-08-12 08:05:18.401926,326.54
2019-08-12 08:06:22.931908,326.54
2019-08-12 08:07:27.408899,326.54
2019-08-12 08:08:31.876446,326.54
2019-08-12 08:09:36.358701,326.54
2019-08-12 08:10:40.840122,326.54
2019-08-12 08:11:45.268760,326.54
2019-08-12 08:12:49.747930,326.54
2019-08-12 08:13:54.186872,326.54
2019-08-12 08:14:58.683267,326.54
2019-08-12 08:16:03.118654,326.54
2019-08-12 08:17:07.574460,326.54
2019-08-12 08:18:12.042852,326.54
2019-08-12 08:19:16.549173,326.54
2019-08-12 08:20:20.991983,326.54
2019-08-12 08:21:25.428391,326.54
2019-08-12 08:22:29.867296,326.54
2019-08-12 08:23:34.300022,326.54
2019-08-12 08:24:38.682629,326.54
2019-08-12 08:25:43.137927,326.54
2019-08-12 08:26:47.567977,326.54
2019-08-12 08:27:52.007068,326.54
2019-08-12 08:28:56.446299,326.54
2019-08-12 08:30:00.941532,326.54
2019-08-12 08:31:05.392692,326.54
2019-08-12 08:32:09.855379,326.54
2019-08-12 08:33:14.290877,326.54
2019-08-12 08:34:18.707847,326.54
2019-08-12 08:35:23.158973,326.54
2019-08-12 08:36:27.564539,326.64
2019-08-12 08:37:32.056876,326.54
2019-08-12 08:38:36.524670,326.54
2019-08-12 08:39:40.992647,326.54
2019-08-12 08:40:45.475323,326.54
2019-08-12 08:41:49.918028,326.54
2019-08-12 08:42:54.359646,326.54
2019-08-12 08:43:58.831935,326.54
2019-08-12 08:45:03.266977,326.54
2019-08-12 08:46:07.731886,326.54
2019-08-12 08:47:12.148961,326.54
2019-08-12 08:48:16.615592,326.54
2019-08-12 08:49:21.087508,326.54
2019-08-12 08:50:25.549714,326.54
2019-08-12 08:51:29.972372,326.54
2019-08-12 08:52:34.425959,326.54
2019-08-12 08:53:38.854726,326.54
2019-08-12 08:54:43.295389,326.54
2019-08-12 08:55:47.769182,326.54
2019-08-12 08:56:52.226142,326.54
2019-08-12 08:57:56.660597,326.54
2019-08-12 08:59:01.046921,326.54
2019-08-12 09:00:05.447155,326.54
2019-08-12 09:01:09.859788,326.54
2019-08-12 09:02:14.299434,326.54
2019-08-12 09:03:18.754276,326.54
2019-08-12 09:04:23.225314,326.54
2019-08-12 09:05:27.648806,326.54
2019-08-12 09:06:32.089391,326.54
2019-08-12 09:07:36.545284,326.54
2019-08-12 09:08:41.003758,326.54
2019-08-12 09:09:45.461171,326.64
2019-08-12 09:10:49.987955,326.54
2019-08-12 09:11:54.450913,326.54
2019-08-12 09:12:58.923777,326.54
2019-08-12 09:14:03.339631,326.64
2019-08-12 09:15:07.840910,326.54
2019-08-12 09:16:12.258530,326.54
2019-08-12 09:17:16.728804,326.54
2019-08-12 09:18:21.201582,326.54
2019-08-12 09:19:25.613616,326.54
2019-08-12 09:20:30.081383,326.54
2019-08-12 09:21:34.577195,326.54
2019-08-12 09:22:39.008781,326.54
2019-08-12 09:23:43.472585,326.54
2019-08-12 09:24:47.956235,326.54
2019-08-12 09:25:52.392272,326.54
2019-08-12 09:26:56.924250,326.54
2019-08-12 09:28:01.625354,326.54
2019-08-12 09:29:06.265057,326.54
2019-08-12 09:30:10.886727,326.54
2019-08-12 09:31:15.582422,326.54
2019-08-12 09:32:20.098545,326.54
2019-08-12 09:33:24.624328,326.54
2019-08-12 09:34:29.117360,326.54
2019-08-12 09:35:33.626504,326.54
2019-08-12 09:36:38.090876,326.54
2019-08-12 09:37:42.724490,326.54
2019-08-12 09:38:47.230764,326.54
2019-08-12 09:39:51.698021,326.64
2019-08-12 09:40:56.195352,326.54
2019-08-12 09:42:00.746078,326.54
2019-08-12 09:42:32.976340,326.54
2019-08-12 09:43:05.227816,326.54
2019-08-12 09:43:37.500358,326.64
2019-08-12 09:44:09.775101,326.54
2019-08-12 09:44:42.076547,326.44
2019-08-12 09:45:14.371883,326.64
2019-08-12 09:45:46.586320,326.54
2019-08-12 09:46:18.838363,326.54
2019-08-12 09:46:51.111186,326.54
2019-08-12 09:47:23.348886,326.54
2019-08-12 09:47:55.614623,326.54
2019-08-12 09:48:27.847433,326.54
2019-08-12 09:49:00.082208,326.44
2019-08-12 09:49:32.371583,326.44
2019-08-12 09:50:04.616216,326.54
2019-08-12 09:50:36.810733,326.44
2019-08-12 09:51:09.014338,326.44
2019-08-12 09:51:41.220463,326.44
2019-08-12 09:52:13.472403,326.44
2019-08-12 09:52:45.736403,326.44
2019-08-12 09:53:17.980758,326.44
2019-08-12 09:53:50.194773,326.44
2019-08-12 09:54:22.455031,326.44
2019-08-12 09:54:54.621001,326.34
2019-08-12 09:55:26.838136,326.44
2019-08-12 09:55:59.088475,326.34
2019-08-12 09:56:31.334031,326.34
2019-08-12 09:57:03.541918,326.34
2019-08-12 09:57:35.757058,326.34
2019-08-12 09:58:07.968781,326.25
2019-08-12 09:58:40.166610,326.25
2019-08-12 09:59:12.371038,326.25
2019-08-12 09:59:44.636548,326.25
2019-08-12 10:00:16.855188,326.15
2019-08-12 10:00:49.131876,326.15
2019-08-12 10:01:21.346496,326.15
2019-08-12 10:01:53.565924,326.15
2019-08-12 10:02:25.800635,326.15
2019-08-12 10:02:58.027117,326.15
2019-08-12 10:03:30.260794,326.15
2019-08-12 10:04:02.490234,326.05
2019-08-12 10:04:34.713336,326.05
2019-08-12 10:05:07.015191,326.05
2019-08-12 10:05:39.268109,325.95
2019-08-12 10:06:11.540656,325.95
2019-08-12 10:06:43.773824,325.95
2019-08-12 10:07:16.068793,325.95
2019-08-12 10:07:48.339067,325.95
2019-08-12 10:08:20.613069,325.86
2019-08-12 10:08:52.838675,325.86
2019-08-12 10:09:25.111691,325.86
2019-08-12 10:09:57.370695,325.86
2019-08-12 10:10:29.724006,325.76
2019-08-12 10:11:01.990427,325.76
2019-08-12 10:11:34.234222,325.76
2019-08-12 10:12:06.530325,325.66
2019-08-12 10:12:38.796815,325.66
2019-08-12 10:13:11.094170,325.66
2019-08-12 10:13:43.348294,325.66
2019-08-12 10:14:15.606994,325.66
2019-08-12 10:14:47.859207,325.56
2019-08-12 10:15:20.120974,325.56
2019-08-12 10:15:52.419041,325.46
2019-08-12 10:16:24.750977,325.56
2019-08-12 10:16:57.040698,325.46
2019-08-12 10:17:29.297515,325.46
2019-08-12 10:18:01.579913,325.46
2019-08-12 10:18:33.861238,325.37
2019-08-12 10:19:06.088402,325.37
2019-08-12 10:19:38.269783,325.37
2019-08-12 10:20:10.542505,325.37
2019-08-12 10:20:42.782435,325.27
2019-08-12 10:21:15.018176,325.27
2019-08-12 10:21:47.290055,325.27
2019-08-12 10:22:19.545318,325.17
2019-08-12 10:22:51.787152,325.17
2019-08-12 10:23:24.001990,325.17
2019-08-12 10:23:56.207637,325.17
2019-08-12 10:24:28.457605,325.07
2019-08-12 10:25:00.722646,325.07
2019-08-12 10:25:32.987014,325.07
2019-08-12 10:26:05.243903,325.07
2019-08-12 10:26:37.497234,324.98
2019-08-12 10:27:09.703356,324.98
2019-08-12 10:27:41.979747,324.98
2019-08-12 10:28:14.233711,324.98
2019-08-12 10:28:46.493549,324.88
2019-08-12 10:29:18.709776,324.88
2019-08-12 10:29:50.930836,324.88
2019-08-12 10:30:23.146617,324.78
2019-08-12 10:30:55.396566,324.78
2019-08-12 10:31:27.720655,324.68
2019-08-12 10:32:00.171328,324.68
2019-08-12 10:32:32.432717,324.68
2019-08-12 10:33:04.639734,324.68
2019-08-12 10:33:36.916139,324.58
2019-08-12 10:34:09.157842,324.58
2019-08-12 10:34:41.382036,324.58
2019-08-12 10:35:13.622175,324.58
2019-08-12 10:35:45.831196,324.49
2019-08-12 10:36:18.076844,324.49
2019-08-12 10:36:50.279664,324.39
